dataset,date,time,sequence_id,message,element_id,event_id
df010,6/29/2017,14:52:06,2,Taking Off,4,e1
df010,6/29/2017,14:52:08,2,Taking Off,4,e1
df010,6/29/2017,14:52:09,2,Home Point Recorded. RTH Altitude:  30m.,4,e2
df010,6/29/2017,15:02:26,2,Obstacle Avoided. Revise Flight Route,4,e12
df010,6/29/2017,15:24:31,1,Taking Off,1,e1
df010,6/29/2017,15:24:31,1,Taking Off,1,e1
df010,6/29/2017,15:24:32,1,Taking Off,1,e1
df010,6/29/2017,15:24:32,1,Taking Off,1,e1
df010,6/29/2017,15:24:32,1,Home Point Recorded. RTH Altitude: 30m.,1,e2
df010,6/29/2017,15:24:32,1,Home Point Recorded. RTH Altitude: 30m.,1,e2
df010,6/29/2017,15:25:15,1,Camera Settings Adjusted to ActiveTrack,2,e4
df010,6/29/2017,15:25:19,1,Your palm is too far away from the aircraft. Please step closer.,2,e5
df010,6/29/2017,15:25:28,1,Your palm is too far away from the aircraft. Please step closer.,2,e5
df010,6/29/2017,15:25:29,1,Your palm is too close to the aircraft. Please step farther away.,2,e6
df010,6/29/2017,15:25:33,1,Palm Control in Process,2,e7
df010,6/29/2017,15:25:33,1,Palm Control in Process,2,e7
df010,6/29/2017,15:25:55,1,Your palm is too close to the aircraft. Please step farther away.,2,e6
df010,6/29/2017,15:26:00,1,Your palm is too far away from the aircraft. Please step closer.,2,e5
df010,6/29/2017,15:26:05,1,Your palm is too close to the aircraft. Please step farther away.,2,e6
df010,6/29/2017,15:26:10,1,Palm Control in Process,2,e7
df010,6/29/2017,15:26:10,1,Palm Control in Process,2,e7
df010,6/29/2017,15:26:27,1,Palm Control in Process,2,e7
df010,6/29/2017,15:26:27,1,Palm Control in Process,2,e7
df010,6/29/2017,15:26:43,1,Camera Settings Adjusted to ActiveTrack,2,e4
df010,6/29/2017,15:26:43,1,Drag a box around or tap a target on screen. Then tap Go.,2,e8
df010,6/29/2017,15:26:52,1,Camera Settings Adjusted to ActiveTrack,2,e4
df010,6/29/2017,15:26:52,1,Drag a box around or tap a target on screen. Then tap Go.,2,e8
df010,6/29/2017,15:26:53,1,Cannot Identify Subject,2,e9
df010,6/29/2017,15:31:54,1,Taking Off,3,e1
df010,6/29/2017,15:31:54,1,Taking Off,3,e1
df010,6/29/2017,15:31:54,1,Compass Interference. Temp Max Altitude: 98ft,3,e10
df010,6/29/2017,15:31:56,1,Taking Off,3,e1
df010,6/29/2017,15:31:56,1,Taking Off,3,e1
df010,6/29/2017,15:32:24,1,Taking Off,3,e1
df010,6/29/2017,15:32:24,1,Taking Off,3,e1
